text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,page_number,label
incentive points must be achieved through the institute-level preparatory activity to avail the,-0.23011388,-0.313718673,0,0.108497546,-0.227061382,0.936261241,0,0,1,3,0
10. Remedies,3.269082442,-0.622735371,1,0.429076688,2.985235602,-1.447500153,0,0,1,6,1
Pre-Placement Interviews shall be applicable only for the firms where the student has,-0.23011388,-0.306309117,0,-0.005166812,-0.227061382,0.932609268,1,0,1,7,0
"withdrawal, refrain from either directly or indirectly soliciting or attempting to solicit",-0.279512625,-0.622735371,0,0.155289991,-0.177454604,0.904138774,0,0,1,7,0
blade waste is diffcult to dispose.,0.28238359,-0.241956259,0,0.055979489,-0.089929417,-0.855879716,0,0,0,2,0
bamboo wind turbine blade,-1.917333616,3.508110402,0,-6.284826544,-1.341848949,-1.070039224,0,0,1,2,0
4. Mathematical Aspect,0.750362812,-0.447606045,1,0.207941573,0.176398076,-0.937100012,0,0,1,4,1
Eligible students should express interest to the Placement office before the placement,-0.23011388,-0.372995123,0,-0.005166812,-0.227061382,0.969426099,1,0,1,11,0
"Sponsored (excluding Self-Financed), external, and QIP postgraduate students are not eligible.",-0.23011388,-0.32112823,0,0.108497546,-0.227061382,0.978277603,1,0,0,2,0
Deferred Placement Policy for Higher Studies,3.268309168,0.28241534,0,0.117428528,3.266281723,0.404560207,1,0,1,12,1
5. Obligations of the Intern,3.269082442,-0.622735371,1,0.429069063,2.985235602,-0.885740458,0,0,1,4,1
A critical part of evaluating bamboo-based composites involves predicting the effective elastic modulus of a laminated bamboo beam. By,0.248619477,-0.323103965,0,0.064509592,-0.089945735,1.025831262,1,0,1,4,0
"d.​ Any violation (including proxy attendance) will be addressed in the same manner as in PPTs,",-0.23011388,-0.498957579,0,0.209470708,-0.227061382,1.045139854,0,0,1,8,0
Subsidiary (being a holding company of the,-0.279512625,1.959707323,0,0.15528872,-0.177454604,-0.47069414,1,0,1,2,0
"JAFs, and the student will be deregistered from further placement processes, including",-0.23011388,-0.298899561,0,0.107971498,-0.227061382,0.928947075,1,0,1,4,0
"Students deferring their placements, if sitting for Placements in 2026-27 or 2027-28, shall not",-0.23011388,-0.372995123,0,-0.005166812,-0.227061382,0.972553289,1,0,1,11,0
"maturing business opportunities, marketing",-0.279512625,1.959707323,0,0.15528745,-0.177454604,-0.471587317,0,0,1,2,0
student and would override the Placement Policy of 2025-26.,-0.23011388,-0.372995123,0,0.108504234,-0.227061382,0.092703719,0,0,0,11,0
27 points,-0.23011388,2.297803481,0,-0.005166812,-0.227061382,-1.229244744,0,0,1,4,0
IDC Placement Policy,3.268309168,1.108148214,0,0.117425046,3.266281723,-0.535033052,1,0,1,14,1
14. Non-Assignment,3.269082442,-0.622735371,1,0.340588038,2.985235602,-1.188637299,0,0,1,8,1
Designation: Intern ​,-0.279512625,-0.622735371,0,0.220946139,-0.177454604,-1.329836479,1,0,1,10,0
Company.,-0.279512625,-0.622735371,0,0.15528745,-0.177454604,-1.707229183,1,0,0,3,0
(without limitation) relates to the business,-0.279512625,1.959707323,0,0.15528872,-0.177454604,-0.469334957,0,0,1,2,0
​,-0.279512625,1.68130272,0,-0.004339283,-1.13971703,-2.08158112,0,0,1,10,0
18. Severability,3.269082442,-0.622735371,1,0.324668316,2.985235602,-1.400900507,0,0,1,9,1
Placement Cell – IIT Bombay,4.434450184,0.720807753,0,0.123304919,4.430729425,-0.104696104,1,0,1,14,1
Placement Cell – IIT Bombay,4.434450184,0.720807753,0,0.117830518,4.430729425,-0.104696104,1,0,1,13,1
"organization, he/she will become ineligible for the job offers by the lower-category organization.",-0.23011388,-0.47672891,0,0.107977906,-0.227061382,0.961084926,0,0,0,14,0
Deferred Placement Policy for Social Fellowship,3.268309168,0.190242855,0,0.117428528,3.266281723,0.537969717,1,0,1,13,1
"Intern and the employer have the duty of mutual confidence and trust, and to make",-0.279512625,-0.622735371,0,0.155288085,-0.177454604,0.907944486,1,0,1,1,0
j.​,-0.23011388,-0.498957579,0,-6.934084346,-0.227061382,-1.434650659,0,0,1,3,0
Why Bamboo is Better Alternative for Wind Blade,0.750362812,-0.447606045,1,0.165314727,0.176410315,-0.379430916,1,0,1,2,1
student will be allowed to sign JAFs as per normal policy until a decision regarding the grant,-0.23011388,-0.32112823,0,0.107973727,-0.227061382,0.942490599,0,0,1,6,0
10.​,1.519097644,-0.728653822,0,0.371990284,1.519610171,-1.354373788,0,0,1,8,1
Self-Financed Placement Policy,1.519097644,-0.372995123,0,-0.035766783,1.519610171,-0.362362636,1,0,1,8,1
paragraph 5 or 8 and agrees that the Company shall be entitled to an injunction,-0.279512625,-0.622735371,0,0.155289991,-0.177454604,0.904410611,0,0,1,7,0
"Students deferring their placements to 2026-27, if sitting for Placements in 2025-26, shall not",-0.23011388,-0.387814236,0,-0.005166812,-0.227061382,0.973699421,1,0,1,12,0
because of backlogs/other constraints might be considered on a case-by-case basis. Students,-0.23011388,-0.32112823,0,0.107971498,-0.227061382,0.944024061,0,0,1,2,0
