text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,distance_from_top,page_number,label
Welcome to the “Connecting the Dots” Challenge,3.4269252982935607,-0.7758171672021587,1,0.11669633509556604,4.248482545238305,1.46030497454944,1,0,1,76.530029296875,2,0
Rethink Reading. Rediscover Knowledge,0.33993628964306133,-0.7758171672021587,1,0.36520330061486295,0.16448555377808247,0.1703569292424807,1,0,1,124.29998779296875,2,0
"What if every time you opened a PDF, it didn’t just sit there—it spoke to you,",0.33993628964306133,-0.7758171672021587,0,0.27106261388603897,0.16448555377808247,1.6258526285305483,1,0,1,155.54998779296875,2,0
"connected ideas, and narrated meaning across your entire library?",0.33993628964306133,-0.7758171672021587,0,0.1435426444504309,0.16448555377808247,1.2204166017928852,0,0,1,172.54998779296875,2,0
That’s the future we’re building — and we want you to help shape it.,0.33993628964306133,-0.7758171672021587,0,0.27133133915057744,0.16448555377808247,1.3299347097481173,1,0,0,203.83001708984375,2,0
"In the Connecting the Dots Challenge, your mission is to reimagine the humble",0.33993628964306133,-0.7758171672021587,0,0.26882542143980026,0.16448555377808247,1.7235136276909446,1,0,1,234.83001708984375,2,0
"PDF as an intelligent, interactive experience—one that understands structure,",0.33993628964306133,-0.7758171672021587,0,0.1435426444504309,0.16448555377808247,1.6951407907142126,1,0,1,251.83001708984375,2,0
"surfaces insights, and responds to you like a trusted research companion.",0.33993628964306133,-0.7758171672021587,1,0.14577983689666965,0.16448555377808247,1.5325432094652969,0,0,0,269.08001708984375,2,0
The Journey Ahead,0.33993628964306133,-0.7758171672021587,1,0.2690040254265971,0.16448555377808247,-0.7444843548250747,1,0,1,300.0999755859375,2,0
• Round 1:,-1.718056382790605,0.11129893502936157,0,0.30193625197682705,-1.0539126982467557,-1.0221127696323462,0,0,1,334.8000183105469,2,0
